,REPORT,CATEGORY
811,"when you resurrect a dead man , hard copy should come a-knocking , no ? ",0
812,"cattaneo should have followed the runaway success of his first film , the full monty , with something different . ",0
813,"the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe . ",0
814,this overproduced piece of dreck is shockingly bad and absolutely unnecessary . hmmmmight i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ? ,0
815,the makers of mothman prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad . ,0
816,"mr . deeds is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor . ",0
817,how this one escaped the lifetime network i'll never know . ,0
818,couldn't someone take rob schneider and have him switch bodies with a funny person ? ,0
819,"one of these days hollywood will come up with an original idea for a teen movie , but until then there's always these rehashes to feed to the younger generations . ",0
820,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0
821,i have to admit that i am baffled by jason x . ,0
822,a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0
823,"instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who's apparently been forced by his kids to watch too many barney videos . ",0
824,this is a film living far too much in its own head . ,0
825,the umpteenth summer skinny dip in jerry bruckheimer's putrid pond of retread action twaddle . ,0
826,"national lampoon's van wilder may aim to be the next animal house , but it more closely resembles this year's version of tomcats . ",0
827,the film thrusts the inchoate but already eldritch christian right propaganda machine into national media circles . ,0
828,"dogtown is hollow , self-indulgent , and - worst of all - boring . ",0
829,a movie so bad that it quickly enters the pantheon of wreckage that includes battlefield earth and showgirls . ,0
830,more of a career curio than a major work . ,0
831,"it's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain . ",0
832,"cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy . ",0
833,"to be influenced chiefly by humanity's greatest shame , reality shows -- reality shows for god's sake ! -- is a crime that should be punishable by chainsaw . ",0
834,"taken as a whole , the tuxedo doesn't add up to a whole lot . ",0
835,as we have come to learn -- as many times as we have fingers to count on -- jason is a killer who doesn't know the meaning of the word 'quit . ' the filmmakers might want to look it up . ,0
836,"a frustrating 'tweener' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls . ",0
837,"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . ",0
838,drowning's too good for this sucker . ,0
839,an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product . ,0
840,"frankly , it's pretty stupid . i had more fun with ben stiller's zoolander , which i thought was rather clever . but there's plenty to offend everyone . . . ",0
841,love liza is a festival film that would have been better off staying on the festival circuit . ,0
842,"there are things to like about murder by numbers -- but , in the end , the disparate elements don't gel . ",0
843, . . . tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry . ,0
844,"quite frankly , i can't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out . ",0
845,"my precious new star wars movie is a lumbering , wheezy drag . . . ",0
846,the innocence of holiday cheer ain't what it used to be . ,0
847,"too campy to work as straight drama and too violent and sordid to function as comedy , vulgar is , truly and thankfully , a one-of-a-kind work . ",0
848,horrid little propaganda film with fascinating connections not only to the serbs themselves but also to a network of american right-wing extremists . ,0
849,"should have gone straight to video . it looks like an action movie , but it's so poorly made , on all levels , that it doesn't even qualify as a spoof of such . ",0
850,"it is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b . s . one another and put on a show in drag . ",0
851,consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire . ,0
852,"a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i'm not exactly sure what -- and has all the dramatic weight of a raindrop . ",0
853,"sheridan had a wonderful account to work from , but , curiously , he waters it down , turning grit and vulnerability into light reading . ",0
854,heavy with flabby rolls of typical toback machinations . ,0
855,"it is very difficult to care about the character , and that is the central flaw of the film . ",0
856,snow dogs finds its humour in a black man getting humiliated by a pack of dogs who are smarter than him,0
857,whole stretches of the film may be incomprehensible to moviegoers not already clad in basic black . ,0
858,"reggio and glass so rhapsodize cynicism , with repetition and languorous slo-mo sequences , that glass's dirgelike score becomes a fang-baring lullaby . ",0
859,es triste tener que decirles que lo único grato de la cinta es el cuerpo desnudo de la heather . . . ,0
860,ends up offering nothing more than the latest schwarzenegger or stallone flick would . ,0
861,"the film makes strong arguments regarding the social status of america's indigenous people , but really only exists to try to eke out an emotional tug of the heart , one which it fails to get . ",0
862,charlize chases kevin with a gun . courtney chases stuart with a cell phone . the sound of gunfire and cell phones ringing . ,0
863,"if the tuxedo actually were a suit , it would fit chan like a $99 bargain-basement special . ",0
864,parents beware ; this is downright movie penance . ,0
865," . . . a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i can't believe any viewer , young or old , would have a good time here . ",0
866,"has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal's overweight and out of shape . ",0
867,a pathetically inane and unimaginative cross between xxx and vertical limit . ,0
868,"impeccably filmed , sexually charged , but ultimately lacking in substance , not to mention dragged down by a leaden closing act . ",0
869,"feels at times like a giant commercial for universal studios , where much of the action takes place . ",0
870,"while the mystery unravels , the characters respond by hitting on each other . ",0
871,"britney spears' phoniness is nothing compared to the movie's contrived , lame screenplay and listless direction . ",0
872,every sequel you skip will be two hours gained . consider this review life-affirming . ,0
873,"if the movie were all comedy , it might work better . but it has an ambition to say something about its subjects , but not a willingness . ",0
874,"the movie , while beautiful , feels labored , with a hint of the writing exercise about it . ",0
875,"twenty-three movies into a mostly magnificent directorial career , clint eastwood's efficiently minimalist style finally has failed him . big time . ",0
876,"this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel , seth green and barry pepper . it should have stayed there . ",0
877,the film has a childlike quality about it . but the feelings evoked in the film are lukewarm and quick to pass . ,0
878,"the most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine . ",0
879,"it's not a film to be taken literally on any level , but its focus always appears questionable . ",0
880,"big fat liar is little more than home alone raised to a new , self-deprecating level . ",0
881,"the movie is gorgeously made , but it is also somewhat shallow and art-conscious . ",0
882,the only time 8 crazy nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers . ,0
883,"loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness . ",0
884,"there's a delightfully quirky movie to be made from curling , but brooms isn't it . ",0
885,"the story suffers a severe case of oversimplification , superficiality and silliness . ",0
886,"chamber of secrets will find millions of eager fans . but if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie . ",0
887,too clever by about nine-tenths . ,0
888,"has all the hallmarks of a movie designed strictly for children's home video , a market so insatiable it absorbs all manner of lame entertainment , as long as 3-year-olds find it diverting . ",0
889,well-meant but unoriginal . ,0
890,bears about as much resemblance to the experiences of most battered women as spider-man does to the experiences of most teenagers . ,0
891,toward the end sum of all fears morphs into a mundane '70s disaster flick . ,0
892,"director carl franklin , so crisp and economical in one false move , bogs down in genre cliches here . ",0
893,"mendes still doesn't quite know how to fill a frame . like the hanks character , he's a slow study : the action is stilted and the tabloid energy embalmed . ",0
894,this thing is just garbage . ,0
895,"as crimes go , writer-director michael kalesniko's how to kill your neighbor's dog is slight but unendurable . ",0
896,"there must be an audience that enjoys the friday series , but i wouldn't be interested in knowing any of them personally . ",0
897,a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams . ,0
898,"an uplifting , largely bogus story . ",0
899,"an empty exercise , a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance . ",0
900,"if you are curious to see the darker side of what's going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there's nothing very attractive about this movie . ",0
901,my own minority report is that it stinks . ,0
902,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible . ,0
903,"the script is high on squaddie banter , low on shocks . ",0
904," . . . if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you're in for a painful ride . ",0
905,"while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket . ",0
906,"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering . . . may put off insiders and outsiders alike . ",0
907,"[davis] wants to cause his audience an epiphany , yet he refuses to give us real situations and characters . ",0
908,"without a fresh infusion of creativity , 4ever is neither a promise nor a threat so much as wishful thinking . ",0
909," . . . unlike [scorsese's mean streets] , ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot . ",0
910,"being unique doesn't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke . ",0
911,"a few hours after you've seen it , you forget you've been to the movies . ",0
912,odd and weird . ,0
913,"waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway . ",0
914,"yes , i suppose it's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i didn't . ",0
915,"shadyac , who belongs with the damned for perpetrating patch adams , trots out every ghost trick from the sixth sense to the mothman prophecies . ",0
916,"the photographer's show-don't-tell stance is admirable , but it can make him a problematic documentary subject . ",0
917,it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them . ,0
918,i'd be hard pressed to think of a film more cloyingly sappy than evelyn this year . ,0
919,nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises . ,0
920,meanders between its powerful moments . ,0
921,"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip . ",0
922,a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship . ,0
923,"pure of intention and passably diverting , his secret life is light , innocuous and unremarkable . ",0
924, . . . delivers few moments of inspiration amid the bland animation and simplistic story . ,0
925,"take away the controversy , and it's not much more watchable than a mexican soap opera . ",0
926,"it's got the brawn , but not the brains . ",0
927,mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline . ,0
928,"a lot of talent is wasted in this crass , low-wattage endeavor . ",0
929,to show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree . ,0
930,[t]oo many of these gross out scenes . . . ,0
931,about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook . ,0
932,little is done to support the premise other than fling gags at it to see which ones shtick . ,0
933,"reno does what he can in a thankless situation , the film ricochets from humor to violence and back again , and ryoko hirosue makes us wonder if she is always like that . ",0
934,"if jews were catholics , this would be catechism",0
935,one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch . ,0
936,the big ending surprise almost saves the movie . it's too bad that the rest isn't more compelling . ,0
937,"charming , if overly complicated . . . ",0
938,schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression . ,0
939,"all very stylish and beautifully photographed , but far more trouble than it's worth , with fantasy mixing with reality and actors playing more than one role just to add to the confusion . ",0
940,it's probably not easy to make such a worthless film . . . ,0
941,"hope keeps arising that the movie will live up to the apparent skills of its makers and the talents of its actors , but it doesn't . ",0
942,"has no reason to exist , other than to employ hollywood kids and people who owe favors to their famous parents . ",0
943,"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown . ",0
944,constantly slips from the grasp of its maker . ,0
945,smothered by its own solemnity . ,0
946,'christian bale's quinn [is] a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent . ',0
947,might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people . ,0
948,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0
949,not one moment in the enterprise didn't make me want to lie down in a dark room with something cool to my brow . ,0
950,"in the era of the sopranos , it feels painfully redundant and inauthentic . ",0
951,"the overall vibe is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors . ",0
952,breen's script is sketchy with actorish notations on the margin of acting . ,0
953,"there's no question that epps scores once or twice , but it's telling that his funniest moment comes when he falls about ten feet onto his head . ",0
954,if only merchant paid more attention the story . ,0
955,"at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion . ",0
956, . . . too contrived to be as naturally charming as it needs to be . ,0
957,"a simpler , leaner treatment would have been preferable ; after all , being about nothing is sometimes funnier than being about something . ",0
958,"the characters are based on stock clichés , and the attempt to complicate the story only defies credibility . ",0
959,everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable . ,0
960,"not the great american comedy , but if you liked the previous movies in the series , you'll have a good time with this one too . ",0
961,a domestic melodrama with weak dialogue and biopic cliches . ,0
962,"mr . goyer's loose , unaccountable direction is technically sophisticated in the worst way . ",0
963,the movie is so thoughtlessly assembled . ,0
964,"benigni presents himself as the boy puppet pinocchio , complete with receding hairline , weathered countenance and american breckin meyer's ridiculously inappropriate valley boy voice . ",0
965,plays like some corny television production from a bygone era,0
966,the end result is like cold porridge with only the odd enjoyably chewy lump . ,0
967,"for all the charm of kevin kline and a story that puts old-fashioned values under the microscope , there's something creepy about this movie . ",0
968,"i was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism . ",0
969,"producer john penotti surveyed high school students . . . and came back with the astonishing revelation that "" they wanted to see something that didn't talk down to them . "" ignoring that , he made swimfan anyway",0
970,"naipaul fans may be disappointed . those who are not acquainted with the author's work , on the other hand , may fall fast asleep . ",0
971,"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound . ",0
972,"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother . ",0
973,"full frontal had no effect and elicited no sympathies for any of the characters . by that measure , it is a failure . ",0
974,a baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise . ,0
975,"an affable but undernourished romantic comedy that fails to match the freshness of the actress-producer and writer's previous collaboration , miss congeniality . ",0
976,"sometimes this modest little number clicks , and sometimes it doesn't . ",0
977,"like a pack of dynamite sticks , built for controversy . the film is explosive , but a few of those sticks are wet . ",0
978,has its charming quirks and its dull spots . ,0
979,"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he'd gone the way of don simpson . ",0
980,"the audience when i saw this one was chuckling at all the wrong times , and that's a bad sign when they're supposed to be having a collective heart attack . ",0
981,everyone's to blame here . ,0
982,you get the impression that writer and director burr steers knows the territory . . . but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools . ,0
983,less a study in madness or love than a study in schoolgirl obsession . ,0
984,rice never clearly defines his characters or gives us a reason to care about them . ,0
985,"it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction . ",0
986,"a slight and obvious effort , even for one whose target demographic is likely still in the single digits , age-wise . ",0
987,sex with strangers will shock many with its unblinking frankness . but what is missing from it all is a moral . what is the filmmakers' point ? why did they deem it necessary to document all this emotional misery ? ,0
988,"you see robin williams and psycho killer , and you think , hmmmmm . you see the movie and you think , zzzzzzzzz . ",0
989,"downright transparent is the script's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a "" cooler "" pg-13 rating . ",0
990,the movie slides downhill as soon as macho action conventions assert themselves . ,0
991,"formulaic to the 51st power , more like . ",0
992,draggin' about dragons,0
993,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject . ",0
994,"a respectable but uninspired thriller that's intelligent and considered in its details , but ultimately weak in its impact . ",0
995,"jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability . ",0
996,the movie just has too much on its plate to really stay afloat for its just under ninety minute running time . ,0
997,"comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire . ",0
998,cinematic poo . ,0
999,offers absolutely nothing i hadn't already seen . ,0
1000," "" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original . ",0
1001,"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible . suffice to say its total promise is left slightly unfulfilled . ",0
1002,"complex , sinuously plotted and , somehow , off-puttingly cold . ",0
1003,"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people . ",0
1004," . . . an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you'll wonder if lopez's publicist should share screenwriting credit . ",0
1005,"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab . ",0
1006,could as easily have been called 'under siege 3 : in alcatraz' . . . a cinematic corpse that never springs to life . ,0
1007,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title . . . amounts to surprisingly little . ,0
1008,lame sweet home leaves no southern stereotype unturned . ,0
1009,"slow , dry , poorly cast , but beautifully shot . ",0
1010,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious . ",0
1011,"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted . ",0
1012,"in its chicken heart , crush goes to absurd lengths to duck the very issues it raises . ",0
1013,this long and relentlessly saccharine film is a clear case of preaching to the converted . ,0
1014,the film is flat . ,0
1015,the movie is a lumbering load of hokum but . . . it's at least watchable . ,0
1016,it's a boom-box of a movie that might have been titled 'the loud and the ludicrous' . . . the pandering to a moviegoing audience dominated by young males is all too calculated . ,0
1017,"an unbelievably stupid film , though occasionally fun enough to make you forget its absurdity . ",0
1018,the first fatal attraction was vile enough . do we really need the tiger beat version ? ,0
1019,"this bond film goes off the beaten path , not necessarily for the better . ",0
1020,the problem is that the movie has no idea of it is serious or not . ,0
1021,"when the fire burns out , we've only come face-to-face with a couple dragons and that's where the film ultimately fails . ",0
1022,it would work much better as a one-hour tv documentary . ,0
1023,the elements were all there but lack of a pyschological center knocks it flat . ,0
1024,anemic chronicle of money grubbing new yorkers and their serial loveless hook ups . ,0
1025,simply doesn't have sufficient heft to justify its two-hour running time . ,0
1026,an unsuccessful attempt at a movie of ideas . ,0
1027,"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame . ",0
1028,"this toothless dog , already on cable , loses all bite on the big screen . ",0
1029,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call . ",0
1030,"not only is it hokey , manipulative and as bland as wonder bread dipped in milk , but it also does the absolute last thing we need hollywood doing to us : it preaches . ",0
1031,"it's so crammed with scenes and vistas and pretty moments that it's left a few crucial things out , like character development and coherence . ",0
1032,serving sara should be served an eviction notice at every theater stuck with it . ,0
1033,director roger michell does so many of the little things right that it's difficult not to cuss him out severely for bungling the big stuff . ,0
1034,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",0
1035,"the movie has a script ( by paul pender ) made of wood , and it's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions . ",0
1036,"a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort . ",0
1037,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill . ",0
1038,"despite some charm and heart , this quirky soccer import is forgettable",0
1039,"meyjes's movie , like max rothman's future , does not work . ",0
1040,what's needed so badly but what is virtually absent here is either a saving dark humor or the feel of poetic tragedy . ,0
1041,schneidermeister . . . makin' a fool of himself . . . losin' his fan base . . . ,0
1042,"an ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance . ",0
1043,not once does it come close to being exciting . ,0
1044,"a frankenstein mishmash that careens from dark satire to cartoonish slapstick , bartleby performs neither one very well . ",0
1045,"it plays like a big-budget , after-school special with a generous cast , who at times lift the material from its well-meaning clunkiness . ",0
1046,there's something not entirely convincing about the quiet american . and that holds true for both the movie and the title character played by brendan fraser . ,0
1047,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends . ,0
1048,needed a little less bling-bling and a lot more romance . ,0
1049,"the ending doesn't work . . . but most of the movie works so well i'm almost recommending it , anyway -- maybe not to everybody , but certainly to people with a curiosity about how a movie can go very right , and then step wrong . ",0
1050,it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before . ,0
1051,i'm not exactly sure what this movie thinks it is about . ,0
1052,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes . ,0
1053,so brisk is wang's pacing that none of the excellent cast are given air to breathe . ,0
1054,"the bottom line , at least in my opinion , is imposter makes a better short story than it does a film . ",0
1055,"some elements of it really blow the big one , but other parts are decent . ",0
1056,it is just too bad the film's story does not live up to its style . ,0
1057,"unless you're a fanatic , the best advice is : 'scooby' don't . ",0
1058,a cautionary tale about the folly of superficiality that is itself endlessly superficial . ,0
1059,"for single digits kidlets stuart little 2 is still a no brainer . if you're looking to rekindle the magic of the first film , you'll need a stronger stomach than us . ",0
1060,"shreve's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera . ",0
1061,"contains a few big laughs but many more that graze the funny bone or miss it altogether , in part because the consciously dumbed-down approach wears thin . ",0
1062,nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . ,0
1063,this is a film tailor-made for those who when they were in high school would choose the cliff-notes over reading a full-length classic . ,0
1064,the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads . ,0
1065,"a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages . ",0
1066,a sad and rote exercise in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title would imply . ,0
1067,"personal velocity ought to be exploring these women's inner lives , but it never moves beyond their surfaces . ",0
1068,"we hate [madonna] within the film's first five minutes , and she lacks the skill or presence to regain any ground . ",0
1069,"sounding like arnold schwarzenegger , with a physique to match , [ahola] has a wooden delivery and encounters a substantial arc of change that doesn't produce any real transformation . ",0
1070,"two big things are missing -- anything approaching a visceral kick , and anything approaching even a vague reason to sit through it all . ",0
1071,a fascinating but choppy documentary . ,0
1072,scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company . ,0
1073,"the doofus-on- the-loose banter of welcome to collinwood has a cocky , after-hours loopiness to it . and as with most late-night bull sessions , eventually the content isn't nearly as captivating as the rowdy participants think it is . ",0
1074,"too stagey , talky -- and long -- for its own good . ",0
1075,apparently reassembled from the cutting-room floor of any given daytime soap . ,0
1076,the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless . ,0
1077,"despite auteuil's performance , it's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug . ",0
1078,director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through . ,0
1079, . . . little more than a well-acted television melodrama shot for the big screen . ,0
1080,never comes together as a coherent whole . ,0
1081,an unintentionally surreal kid's picture . . . in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode . ,0
1082,"first , for a movie that tries to be smart , it's kinda dumb . and second , what's with all the shooting ? ",0
1083,don't even bother to rent this on video . ,0
1084,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see . ",0
1085,this is the kind of movie that gets a quick release before real contenders arrive in september . ,0
1086,"not counting a few gross-out comedies i've been trying to forget , this is the first film in a long time that made me want to bolt the theater in the first 10 minutes . ",0
1087,"plays like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story . ",0
1088,"the film doesn't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences . ",0
1089,a mawkish self-parody that plays like some weird masterpiece theater sketch with neither a point of view nor a compelling reason for being . ,0
1090,an average b-movie with no aspirations to be anything more . ,0
1091,"bartlett's hero remains a reactive cipher , when opening the man's head and heart is the only imaginable reason for the film to be made . ",0
1092,gibney and jarecki just want to string the bastard up . ,0
1093,"the plot is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults . ",0
1094,less worrying about covering all the drama in frida's life and more time spent exploring her process of turning pain into art would have made this a superior movie . ,0
1095,a film that suffers because of its many excesses . ,0
1096,too bland and fustily tasteful to be truly prurient . ,0
1097,"in any case , i would recommend big bad love only to winger fans who have missed her since 1995's forget paris . but even then , i'd recommend waiting for dvd and just skipping straight to her scenes . ",0
1098,"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being . ",0
1099,"nijinsky says , 'i know how to suffer' and if you see this film you'll know too . ",0
1100,'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,0
1101,the only thing scary about feardotcom is that the filmmakers and studio are brazen enough to attempt to pass this stinker off as a scary movie . ,0
1102, . . . stale and uninspired . ,0
1103,a dreary movie . ,0
1104, . . . the story simply putters along looking for astute observations and coming up blank . ,0
1105,"instead of contriving a climactic hero's death for the beloved-major- character-who-shall- remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens' laser guns actually hit something for once ? ",0
1106,it just didn't mean much to me and played too skewed to ever get a hold on ( or be entertained by ) . ,0
1107,this action-thriller/dark comedy is one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage . ,0
1108,mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . that's because relatively nothing happens . ,0
1109,"no amount of arty theorizing -- the special effects are 'german-expressionist , ' according to the press notes -- can render it anything but laughable . ",0
1110,"blue crush follows the formula , but throws in too many conflicts to keep the story compelling . ",0
1111,boyd's screenplay ( co-written with guardian hack nick davies ) has a florid turn of phrase that owes more to guy ritchie than the bard of avon . ,0
1112,"there's not a spark of new inspiration in it , just more of the same , done with noticeably less energy and imagination . ",0
1113,"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder . ",0
1114,a moving picture that does not move . ,0
1115,ruh-roh ! romething's really wrong with this ricture ! ,0
1116,"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary . ",0
1117,i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring . ,0
1118,"'god help us , but capra and cooper are rolling over in their graves . '",0
1119," . . . an hour-and-a-half of inoffensive , unmemorable filler . ",0
1120,is it a comedy ? a drama ? a romance ? a cartoon ? ,0
1121,"ze movie starts out so funny , then she is nothing . ",0
1122,did the film inform and educate me ? yes . did it move me to care about what happened in 1915 armenia ? no . and that is where ararat went astray . ,0
1123,it's a bad sign in a thriller when you instantly know whodunit . ,0
1124,has a customarily jovial air but a deficit of flim-flam inventiveness . ,0
1125,eight legged freaks won't join the pantheon of great monster/science fiction flicks that we have come to love . . . ,0
1126,it gets the details of its time frame right but it completely misses its emotions . ,0
1127,"who , exactly , is fighting whom here ? ah , yes , that would be me : fighting off the urge to doze . ",0
1128,"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces . ",0
1129,"contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster . ",0
1130,"starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter . ",0
1131,the film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises . ,0
1132,"the only question . . . is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering . average , at best , i'm afraid . ",0
1133,"this movie is so bad , that it's almost worth seeing because it's so bad . ",0
1134,a crisply made movie that is no more than mildly amusing . ,0
